title_pt,title_en,year,rating,genre,sinopse,cluster,rating_original,year_original
Taxi Driver: Motorista de Táxi,123. Taxi Driver,-0.41968638697279803,-0.4300082523912653,Policial,"Um veterano de guerra com problemas mentais trabalha de noite como condutor de táxi na cidade de Nova Iorque, onde experimenta violência e perigo ao tentar ajudar um trabalhador e uma prostituta.",1,8.2,1976
1917,124. 1917,1.269429547118396,-0.4300082523912653,Ação,Trama desconhecida. O filme será de 1917 durante a primeira guerra mundial.,2,8.2,2019
A Queda! As Últimas Horas de Hitler,125. Downfall,0.6802030584819329,-0.4300082523912653,Biografia,O último secretário de Hitler relata seus últimos dias em seu bunker de Berlim no final da Segunda Guerra Mundial.,3,8.2,2004
Dangal,126. Dangal,1.1515842493911035,-0.011712287030108856,Ação,O lutador Mahavir e suas filhas lutadoras procuram a gloria contra a opressão social nos jogos do Commonwealth.,2,8.3,2016
Top Gun: Maverick,127. Top Gun: Maverick,1.3872748448456886,-0.011712287030108856,Ação,"Após mais de trinta anos de serviço como um dos melhores aviadores da Marinha, Pete Mitchell está onde pertence, ultrapassando os limites como um piloto de teste intrépido e evitando a promoção de posto que o manteria em terra.",4,8.3,2022
Por uns Dólares a Mais,128. For a Few Dollars More,-0.851785811972871,-0.4300082523912653,Drama,Dois caçadores de recompensas com as mesmas intenções se reúnem para encontrar um criminoso ocidental.,0,8.2,1965
Batman Begins,129. Batman Begins,0.7194848243910305,-0.4300082523912653,Ação,"Depois do treinamento, Batman comença a luta contra o crime e corrupçao en Gotham.",3,8.2,2005
Quanto Mais Quente Melhor,130. Some Like It Hot,-1.087476407427456,-0.4300082523912653,Comédia,"Dos músicos son testigos de un crimen y se dan a la fuga disfrazados de mujeres en una banda femenina, pero las cosas se complican.",0,8.2,1959
O Garoto,131. The Kid,-2.5801835119731624,-0.4300082523912653,Comédia,"Um mendigo cuida de uma criança abandonada, mas os eventos ameaçam esse relacionamento.",3,8.2,1921
O Lobo de Wall Street,132. The Wolf of Wall Street,1.0337389516638107,-0.4300082523912653,Biografia,"Baseada na verdadeira história de Jordan Belfort, desde sua ascensão como corretor de valores até a sua queda e envolvimento no crime e corrupção com o governo.",2,8.2,2013
Meu Pai,133. The Father,1.3087113130274934,-0.4300082523912653,Drama,"Um homem recusa toda a ajuda de sua filha à medida que envelhece. Ao tentar entender as mudanças nas circunstâncias, ele começa a duvidar dos seus entes queridos, da sua própria mente e até mesmo da estrutura de sua realidade.",4,8.2,2020
Green Book: O Guia,134. Green Book,1.2301477812092985,-0.4300082523912653,Biografia,Um valentão ítalo-americano se torna o motorista de um pianista afro-americano em um tour no sul dos Estados Unidos nos anos sessenta.,0,8.2,2018
A Malvada,135. All About Eve,-1.4410123006093338,-0.4300082523912653,Drama,"Uma ingênua se insinua na vida de uma atriz de teatro, e de seu círculo de amigas de teatro.",4,8.2,1950
Julgamento em Nuremberg,136. Judgment at Nuremberg,-1.008912875609261,-0.011712287030108856,Drama,"Em 1948, um tribunal dos Estados Unidos na Alemanha ocupada julga quatro nazistas por crimes de guerra.",4,8.3,1961
O Show de Truman: O Show da Vida,137. The Truman Show,0.4445124630273477,-0.4300082523912653,Comédia,Um vendedor de seguros descobre que sua vida é um programa de televisão.,0,8.2,1998
Ran,138. Ran,-0.06615049379092024,-0.4300082523912653,Ação,"No Japão medieval, um senhor feudal decide abdicar e entregar seus domínios aos seus três filhos. Mas ele não é capaz de ver que esses novos poderes irão corrompê-los e levá-los a enfrentar um ao outro, e contra ele.",1,8.2,1985
Cassino,139. Casino,0.3266671653000551,-0.4300082523912653,Policial,"Uma história de ganância, dinheiro e assassinato acontece entre dois melhores amigos: um mafioso e um executivo de cassino, que competem uns com os outros por um império de jogo e pelo amor de uma socialite.",0,8.2,1995
Sangue Negro,140. There Will Be Blood,0.7980483562092254,-0.4300082523912653,Drama,"Uma história sobre familia, religião, ódio e loucura, centrada na vida de um explorador de petróleo nos primeiros anos do negócio.",2,8.2,2007
Ilha do Medo,141. Shutter Island,0.9158936539365181,-0.4300082523912653,Mistério,"Em 1945, um policial federal dos Estados Unidos investiga o desaparecimento de um assassino que escapou de um hospital psiquiátrico.",0,8.2,2010
O Labirinto do Fauno,142. Pan's Labyrinth,0.7587665903001279,-0.4300082523912653,Drama,"Na Espanha de 1944, a filha dum oficial do exército escapa a um mundo de fantasia.",0,8.2,2006
Os Imperdoáveis,143. Unforgiven,0.2088218675727625,-0.4300082523912653,Drama,"O atirador do Velho Oeste, William Munny, relutantemente aceita um último trabalho com a ajuda de seu antigo amigo e um jovem.",3,8.2,1992
O Sexto Sentido,144. The Sixth Sense,0.4837942289364452,-0.4300082523912653,Drama,Um menino que consegue se comunicar com espíritos encontra ajuda de um psicólogo.,3,8.2,1999
Jurassic Park,145. Jurassic Park,0.24810363348186004,-0.4300082523912653,Ação,Durante um tour o parque sofre falta de energia eléctrica o que faz que um dinossauro clonado saia do seu claustro.,0,8.2,1993
Uma Mente Brilhante,146. A Beautiful Mind,0.5623577607546403,-0.4300082523912653,Biografia,A vida do brilhante mas insociável matemático John Nash muda quando ele aceita um trabalho secreto em criptografia.,1,8.2,2001
O Tesouro da Sierra Madre,147. The Treasure of the Sierra Madre,-1.5588575983366264,-0.4300082523912653,Aventura,Dois americanos em busca de trabalho no México convencem um homem a ajudá-los a extrair ouro nas montanhas da Serra Madre.,2,8.2,1947
"Yojimbo, o Guarda-Costas",148. Yojimbo,-1.008912875609261,-0.4300082523912653,Ação,Um astuto ronin chega a uma cidade dividida por duas quadrilhas criminosas e decide se confrontar para libertar a cidade.,0,8.2,1961
Onde os Fracos Não Têm Vez,149. No Country for Old Men,0.7980483562092254,-0.4300082523912653,Policial,Violência e caos surgem quando um caçador se depara com uma negociação de drogas que deu errado e mais de dois milhões de dólares perto do Rio Grande.,0,8.2,2007
Monty Python em Busca do Cálice Sagrado,150. Monty Python and the Holy Grail,-0.4589681528818956,-0.4300082523912653,Aventura,"O Rei Arthur e seus Cavaleiros da Távola Redonda embarcam em uma busca surrealista e de baixo orçamento pelo Santo Graal, encontrando múltiplos obstáculos estúpidos.",4,8.2,1975
Kill Bill: Volume 1,151. Kill Bill: Vol. 1,0.6409212925728354,-0.4300082523912653,Ação,"Depois de despertar de um coma de quatro anos, uma antiga assassina busca vingança contra o grupo de assassinos que a traiu.",2,8.2,2003
Fugindo do Inferno,152. The Great Escape,-0.9303493437910659,-0.4300082523912653,Aventura,Prisioneiros de guerra aliados planejam uma fuga maciça de um campo alemão durante a Segunda Guerra Mundial.,0,8.2,1963
O Enigma de Outro Mundo,153. The Thing,-0.18399579151821283,-0.4300082523912653,Terror,Um team de investigação na Antartica é perseguido por extraterrestres.,0,8.2,1982
Rashomon,154. Rashomon,-1.4410123006093338,-0.4300082523912653,Policial,"A violação de uma noiva e o assassinato de seu marido samurai são lembrados desde a perspectiva de um bandido, da noiva, do fantasma do samurai e de um lenhador.",3,8.2,1950
Procurando Nemo,155. Finding Nemo,0.6409212925728354,-0.4300082523912653,Animação,"Quando seu filho é capturado, um peixe-palhaço tímido embarca em uma viagem para trazê-lo para casa.",0,8.2,2003
O Homem Elefante,156. The Elephant Man,-0.2625593233364079,-0.4300082523912653,Biografia,"Um famoso médico estuda a um jovem com a cara deformada, conhecido como Homem Elefante, ele se da conta que o homem é inteligente e de bom coração.",4,8.2,1980
Chinatown,157. Chinatown,-0.4982499187909931,-0.4300082523912653,Drama,"Um detetive particular contratado para desmascarar um adúltero é pego em uma teia de fraude, corrupção e assassinato.",3,8.2,1974
Homem-Aranha: Sem Volta para Casa,158. Spider-Man: No Way Home,1.347993078936591,-0.4300082523912653,Ação,"Com a identidade do Homem-Aranha revelada, Peter pede ajuda ao Doutor Strange. Quando um feitiço corre mal, inimigos perigosos de outros mundos começam a aparecer, forçando Peter a descobrir o que realmente significa ser o Homem-Aranha.",3,8.2,2021
V de Vingança,159. V for Vendetta,0.7194848243910305,-0.4300082523912653,Ação,"Em um futuro da tirania britânica, um lutador clandestino conhecido como V trama um plano para derrubá-la com a ajuda de uma jovem mulher.",3,8.2,2005
...E o Vento Levou,160. Gone with the Wind,-1.8731117256094068,-0.4300082523912653,Drama,Uma mulher manipuladora e uma truhan embarcam em um romance turbulento durante a Guerra Civil Americana e o período da Reconstrução.,0,8.2,1939
Touro Indomável,161. Raging Bull,-0.2625593233364079,-0.8483042177524143,Biografia,"A vida do boxeador Jake LaMotta, que vê como a violência e temperamento que o levam ao topo do ringue, destroem sua vida fora dele.",3,8.1,1980
Disque M para Matar,162. Dial M for Murder,-1.2838852369729437,-0.4300082523912653,Policial,"Um ex-tenista decide matar a esposa para herdar o dinheiro dela e se vingar de um caso que ela havia tido. A fim de se livrar de culpas, usa um antigo colega de faculdade. Mas as coisas não vão correr como estava planeado.",0,8.2,1954
O Castelo Animado,163. Howl's Moving Castle,0.6802030584819329,-0.4300082523912653,Animação,Uma jovem sem autoconfiança é amaldiçoada com um corpo envelhecido por uma bruxa odiosa. Sua única chance de quebrar o feitiço é um jovem feiticeiro em um castelo itinerante.,1,8.2,2004
"Jogos, Trapaças e Dois Canos Fumegantes","164. Lock, Stock and Two Smoking Barrels",0.4445124630273477,-0.8483042177524143,Ação,"Um jogo de cartas em Londres desencadeia um confronto entre quatro amigos, plantadores de maconha, agiotas e cobradores de dívidas em uma série de eventos curiosos, tudo por algo de maria, dinheiro e duas pistolas antigas.",0,8.1,1998
O Segredo dos Seus Olhos,165. The Secret in Their Eyes,0.8766118880274205,-0.4300082523912653,Drama,"Um assessor jurídico aposentado escreve um romance com a esperança de fechar um de seus antigos casos de homicídio, que permanece sem solução, e superar o amor não correspondido que sentia por seu chefe. Décadas depois, ambas as memórias continuam a persegui-lo.",3,8.2,2009
Divertida Mente,166. Inside Out,1.1123024834820059,-0.8483042177524143,Animação,Quando o jovem Riley se muda á San Francisco deberá lidiar com suas emoções.,4,8.1,2015
Os Suspeitos,167. Prisoners,1.0337389516638107,-0.8483042177524143,Policial,"Quando a filha de Keller Dover e sua amiguinha desaparecem, ele decide investigar o caso por sua conta enquanto a polícia segue múltiplas pistas e a pressão para resolver o caso aumenta.",3,8.1,2013
Três Anúncios para um Crime,"168. Three Billboards Outside Ebbing, Missouri",1.1908660153002009,-0.8483042177524143,Comédia,Uma mãe desafia pessoalmente as autoridades locais para resolver o assassinato de sua filha.,3,8.1,2017
A Ponte do Rio Kwai,169. The Bridge on the River Kwai,-1.166039939245651,-0.8483042177524143,Aventura,"Depois de resolver suas diferenças com um japonês, o comandante do campo, um coronel britânico, coopera para supervisionar a construção de uma ponte ferroviária.",2,8.1,1957
Trainspotting: Sem Limites,170. Trainspotting,0.3659489312091526,-0.8483042177524143,Drama,"Renton, profundamente imerso no mundo das drogas em Edimburgo, tenta sair do ambiente apesar da má influência dos amigos.",4,8.1,1996
Fargo: Uma Comédia de Erros,171. Fargo,0.3659489312091526,-0.8483042177524143,Policial,O crime de Jerry Lundegaard se desfaz devido à falta de sorte dele e de seus colegas e ao persistente trabalho polícia.,0,8.1,1996
Guerreiro,172. Warrior,0.9551754198456156,-0.8483042177524143,Ação,"O filho pequeno de um exboxer alcoólatra volta para casa, onde seu pai o treina para um torneio de artes marciais mistas.",3,8.1,2011
Gran Torino,173. Gran Torino,0.837330122118323,-0.8483042177524143,Drama,"Walt Kowalski, um ranzinza veterano da guerra da Coreia, tenta dar uma lição em seu vizinho quando este tentar roubar seu bem mais precioso: um Gran Torino de 1972.",1,8.1,2008
Prenda-me se for Capaz,174. Catch Me If You Can,0.6016395266637378,-0.8483042177524143,Biografia,"Um agente do FBI persegue Frank Abagnale, que antes de seus 19 anos consegue ganhar milhões de dólares fingindo ser um piloto, um médico e um advogado.",3,8.1,2002
Meu Amigo Totoro,175. My Neighbor Totoro,0.051694803936372366,-0.8483042177524143,Animação,"Quando duas meninas se mudam para o campo para ficar perto de sua mãe doente, elas têm aventuras com os maravilhosos espíritos da floresta que moram nas proximidades.",0,8.1,1988
Menina de Ouro,176. Million Dollar Baby,0.6802030584819329,-0.8483042177524143,Drama,Uma mulher determinada se prepara para se tornar numa pugilista profissional.,0,8.1,2004
Klaus,177. Klaus,1.269429547118396,-0.4300082523912653,Animação,"Um simples ato de bondade sempre provoca outro, mesmo em um lugar gelado e distante. Quando o novo carteiro de Smeerensburg faz amizade com o fabricante de brinquedos Klaus, seus presentes derreteram uma antiga inimizade.",3,8.2,2019
Filhos do Paraíso,178. Children of Heaven,0.40523069711825016,-0.4300082523912653,Drama,"Depois que uma criança perde o par de sapatos de sua irmã, ele embarca em uma série de aventuras para encontrá-los. Quando não consegue, ele tenta uma nova maneira de procurá-los.",2,8.2,1997
Harry Potter e as Relíquias da Morte - Parte 2,179. Harry Potter and the Deathly Hallows: Part 2,0.9551754198456156,-0.8483042177524143,Aventura,"Harry, Ron e Hermione devem escapar a Voldemort e tentar trabalhar em conjunto para localizar e aniquilar os Horcruxes, que contêm pedaços da alma de Voldemort.",3,8.1,2011
Blade Runner: O Caçador de Androides,180. Blade Runner,-0.18399579151821283,-0.8483042177524143,Ação,"Um corredor deberá perseguir é acabar com quatro replicantes que roubaram uma nave no espaço, e deberá regresar á Terra e encontrar seu criador.",0,8.1,1982
12 Anos de Escravidão,181. 12 Years a Slave,1.0337389516638107,-0.8483042177524143,Biografia,"Solomon Northup, um homem preto livre de Nova Iorque, é raptado e vendido como escravo.",1,8.1,2013
Antes do Amanhecer,182. Before Sunrise,0.3266671653000551,-0.8483042177524143,Drama,Um jovem e uma mulher se conhecem num trem em Europa é passam uma noite juntos em Viena.,2,8.1,1995
Em Busca do Ouro,183. The Gold Rush,-2.4230564483367725,-0.8483042177524143,Aventura,Um garimpeiro vai ao Klondike em busca de ouro e encontra muito mais que isso.,3,8.1,1925
O Grande Hotel Budapeste,184. The Grand Budapest Hotel,1.0730207175729083,-0.8483042177524143,Aventura,"As aventuras de Gustave H, um lendário porteiro dum famoso hotel da ficcional República de Zubrowka entre a primeira y a segunda guerra mundial.",2,8.1,2014
Ben-Hur,185. Ben-Hur,-1.087476407427456,-0.8483042177524143,Aventura,"Quando um príncipe de Jerusalém é traído e enviado à escravidão por um amigo romano, ele recupera sua liberdade e retorna para se vingar.",1,8.1,1959
Garota Exemplar,186. Gone Girl,1.0730207175729083,-0.8483042177524143,Drama,"Desde que o desaparecimento de sua esposa se tornou o foco de um intenso circo da mídia, um homem vê como esta se concentra nele quando suspeitam que pode não ser inocente.",4,8.1,2014
Sindicato de Ladrões,187. On the Waterfront,-1.2838852369729437,-0.8483042177524143,Policial,Um ex-lutador que virou lutador enfrenta seus chefes corruptos.,0,8.1,1954
Barry Lyndon,188. Barry Lyndon,-0.4589681528818956,-0.8483042177524143,Aventura,Um irlandês conquista o coração de uma viúva rica e assume a posição aristocrática de seu falecido marido na Inglaterra do século XVIII.,2,8.1,1975
Até o Último Homem,189. Hacksaw Ridge,1.1515842493911035,-0.8483042177524143,Biografia,"O médico amaericano da Segunda Guerra Mundial, Desmond T. Doss, se recusa a matar pessoas e se torna o primeiro homem na história dos Estados Unidos a receber a Medalha de Honra sem atirar um tiro.",3,8.1,2016
Em Nome do Pai,190. In the Name of the Father,0.24810363348186004,-0.8483042177524143,Biografia,"Em 1974, uma explosão a bomba acontece em Guilford, próximo de Londres. Gerry Conlon e amigos são acusados pelo crime e presos. Giuseppe Conlon, pai de Gerry, pede ajuda à advogada Gareth Peirce, que investiga as irregularidades do caso.",0,8.1,1993
A General,191. The General,-2.3837746824276747,-0.8483042177524143,Ação,"Uns espiões roubam a amada locomotiva de um engenheiro, ele a persegue sozinho através das linhas inimigas.",0,8.1,1926
O Franco Atirador,192. The Deer Hunter,-0.341122855154603,-0.8483042177524143,Drama,Um retrato detalhado das maneiras pelas quais a Guerra do Vietnã interrompeu a vida dos habitantes de uma pequena cidade industrial na Pensilvânia.,2,8.1,1978
Morangos Silvestres,193. Wild Strawberries,-1.166039939245651,-0.8483042177524143,Drama,"Depois de viver uma vida marcada pela frieza, um professor idoso é forçado a confrontar o vazio de sua existência.",0,8.1,1957
Memórias de um Assassino,194. Memories of Murder,0.6409212925728354,-0.8483042177524143,Policial,"Em uma pequena província coreana em 1986, três detetives estão procurando o culpado de uma série de estupros e assassinatos de mulheres jovens.",0,8.1,2003
O 3º Homem,195. The Third Man,-1.4802940665184314,-0.8483042177524143,Filme noir,"O romancista Holly Martins viaja para sombria, Viena pós-guerra, apenas para ele mesmo investigar a misteriosa morte de um velho amigo, Harry Lime",1,8.1,1949
O Salário do Medo,196. The Wages of Fear,-1.3231670028820413,-0.4300082523912653,Aventura,"Em uma aldeia da América do Sul, quatro homens são contratados para transportar uma remessa urgente de nitroglicerina, mas sem o equipamento de segurança.",2,8.2,1953
Relatos Selvagens,197. Wild Tales,1.0730207175729083,-0.8483042177524143,Comédia,Sies historias curtas que exploram o comportamento humano de pessoas desesperadas.,2,8.1,2014
Bancando o Águia,198. Sherlock Jr.,-2.46233821424587,-0.4300082523912653,Ação,Um projecionista de cinema deseja ser um detetive e coloca suas magras habilidades em prática quando um rival o incrimina por roubar o relógio de bolso do pai de sua namorada.,0,8.2,1924
Mad Max: Estrada da Fúria,199. Mad Max: Fury Road,1.1123024834820059,-0.8483042177524143,Ação,"Num mundo apocalíptico, uma mulher se rebela contra um tirano ao procurar uma nova casa para um grupo de mulheres prisioneiras com a ajuda dum homem chamado Max.",3,8.1,2015
A Mulher Faz o Homem,200. Mr. Smith Goes to Washington,-1.8731117256094068,-0.8483042177524143,Comédia,"Um homem ingênuo é eleito para ocupar uma vaga no Senado dos Estados Unidos. Seus planos colidem rapidamente com a corrupção política, mas ele não desiste.",3,8.1,1939
Sociedade dos Poetas Mortos,201. Dead Poets Society,0.0909765698454699,-0.8483042177524143,Comédia,O professor de Inglés John Keating inspira a seus estudantes a ver a poesia duma perspectiva diferente.,4,8.1,1989
Monstros S.A.,"202. Monsters, Inc.",0.5623577607546403,-0.8483042177524143,Animação,"Para poder dar electricidade a sua cidade, os monstros tem que assustar a crianças. Pensando que as crianças são perigosas para eles, dois monstros acham que as coisas podem ser diferentes.",0,8.1,2001
Como Treinar o Seu Dragão,203. How to Train Your Dragon,0.9158936539365181,-0.8483042177524143,Animação,"Um jovem e desafortunado viking que aspira a caçar dragões se torna o improvável amigo de um jovem dragão, e descobre que pode haver mais nas criaturas do que ele supunha.",3,8.1,2010
Mary e Max: Uma Amizade Diferente,204. Mary and Max,0.8766118880274205,-0.8483042177524143,Animação,"Relata a estranha história de uma amizade entre dois amigos por correspondência: Mary, uma garota solitária de oito anos que vive nos subúrbios de Melbourne, e Max, um homem obeso de quarenta e quatro anos que vive em Nova York.",2,8.1,2009
Tubarão,205. Jaws,-0.4589681528818956,-0.8483042177524143,Aventura,"Quando um tubarão desencadea caos numa praia, um xerife, um biologista e um marinheiro daram caça ao animal.",3,8.1,1975
O Sétimo Selo,206. The Seventh Seal,-1.166039939245651,-0.8483042177524143,Drama,"Um homem procura respostas sobre a vida, a morte e a existência de Deus enquanto joga xadrez contra a morte durante a Morte Negra.",0,8.1,1957
O Quarto de Jack,207. Room,1.1123024834820059,-0.8483042177524143,Drama,"Um menino é mantido preso em um quarto com sua mãe desde seu nascimento, por isso sua visão do mundo é muito reduzida.",1,8.1,2015
O Grande Lebowski,208. The Big Lebowski,0.4445124630273477,-0.8483042177524143,Comédia,"Jeff The Dude Lebowski, foi confundido por um millonário do mesmo nome e procurará restituçao com a ajuda do seus amigos.",3,8.1,1998
Era uma Vez em Tóquio,209. Tokyo Story,-1.3231670028820413,-0.8483042177524143,Drama,"Um casal de idosos visita seus filhos e netos na cidade, mas recebe pouca atenção.",0,8.1,1953
Ford vs Ferrari,210. Ford v Ferrari,1.269429547118396,-0.8483042177524143,Ação,"Um designer de carros e um motorista combatem a interferência corporativa, as leis da física e seus próprios demônios pessoais para construir um carro de corrida revolucionário para a Ford e desafiar a Ferrari nas 24 Horas de Le Mans em 1966.",2,8.1,2019
Ratatouille,211. Ratatouille,0.7980483562092254,-0.8483042177524143,Animação,Um rato que pode cozinhar forja uma aliança incomum com um jovem garoto em um famoso restaurante em Paris.,3,8.1,2007
Hotel Ruanda,212. Hotel Rwanda,0.6802030584819329,-0.8483042177524143,Biografia,Paul Rusesabagina era o gerente de um hotel que abrigava mais de mil refugiados tutsis durante sua luta contra a milícia hutu em Ruanda.,0,8.1,2004
O Martírio de Joana D'Arc,213. The Passion of Joan of Arc,-2.30521115060948,-0.4300082523912653,Biografia,"Em 1431, Joana D'Arc é julgada sob acusações de heresia. Os advogados da Igreja tentam forçar Jeanne a retractar suas reivindicações de visões sagradas.",2,8.2,1928
Rocky: Um Lutador,214. Rocky,-0.41968638697279803,-0.8483042177524143,Drama,Um boxer pouco conhecido tem uma grande oportunidade de enfrentar o campeão dos pesos pesados em uma partida em que ele esperaele espera estar à altura da tarefa e divulgar seu nome.,3,8.1,1976
Logan,215. Logan,1.1908660153002009,-0.8483042177524143,Ação,"Em um futuro em que os mutantes estão quase extintos, um velho e cansado Logan leva uma vida tranquila. Mas quando Laura, uma garota mutante perseguida por cientistas, pede ajuda a ele, ele deve colocá-la em segurança.",4,8.1,2017
Platoon,216. Platoon,-0.0268687278818227,-0.8483042177524143,Drama,Um jovem soldado do Vietnã se confronta com uma crisis moral frete aos horrores da guerra.,2,8.1,1986
Spotlight: Segredos Revelados,217. Spotlight,1.1123024834820059,-0.8483042177524143,Biografia,A verdadeira historia de como o jornal Boston Globe revelou o escândalo de abuso sexual infantil dentro da igreja católica da cidade e que agitou a toda igreja católica no mundo.,3,8.1,2015
O Exterminador do Futuro,218. The Terminator,-0.10543225970001777,-0.8483042177524143,Ação,Um indestrutível robô é enviado de 2029 a 1984 para assassinar a uma jovem garçonete que vai ter um filho que vai liderar uma guerra contra máquinas maa um soldado humano também é enviado para protege-lha.,4,8.1,1984
Jai Bhim,219. Jai Bhim,1.347993078936591,2.0797675397756437,Policial,"Quando um homem tribal é preso por um caso de suposto roubo, sua esposa recorre a um advogado de direitos humanos para ajudá-lo a fazer justiça.",1,8.8,2021
Antes do Pôr do Sol,220. Before Sunset,0.6802030584819329,-0.8483042177524143,Drama,"Nove anos depois de se conhecer, o Jesse e a Celine se encontram novamente na França.",2,8.1,2004
Rush: No Limite da Emoção,221. Rush,1.0337389516638107,-0.8483042177524143,Ação,A história da rivalidade impiedosa nos anos 70 entre os rivais de Fórmula 1 James Hunt e Niki Lauda.,4,8.1,2013
Rede de Intrigas,222. Network,-0.41968638697279803,-0.8483042177524143,Drama,Uma rede de televisão explora os delírios e revelações de um homem perturbado.,2,8.1,1976
Conta Comigo,223. Stand by Me,-0.0268687278818227,-0.8483042177524143,Aventura,"Depois da morte de um de seus velhos amigos, um escritor relembra sua viagem com os amigos de infância para encontrar o corpo de um menino desaparecido.",0,8.1,1986
Os Melhores Anos de Nossa Vida,224. The Best Years of Our Lives,-1.598139364245724,-0.8483042177524143,Drama,Três veteranos da Segunda Guerra Mundial voltam para casa na cidade pequena da América para descobrir que eles e suas famílias foram mudados irreparavelmente.,2,8.1,1946
O Mágico de Oz,225. The Wizard of Oz,-1.8731117256094068,-0.8483042177524143,Aventura,A Dorothy Gale é levada por um tornado até a mágica cidade de Oz e vá numa viagem com novos amigos que la ajudar a voltar para casa.,0,8.1,1939
Na Natureza Selvagem,226. Into the Wild,0.7980483562092254,-0.8483042177524143,Aventura,"Depois de terminar a universidade, Christopher McCandless deixa pra trás suas posses e vai para o Alasca viver na natureza.",3,8.1,2007
O Ódio,227. La haine,0.3266671653000551,-0.8483042177524143,Policial,24 horas na vida de três jovens nos subúrbios franceses no dia seguinte a uma rebelião violenta.,2,8.1,1995
O Exorcista,228. The Exorcist,-0.5375316847000906,-0.8483042177524143,Terror,"Quando uma adolescente é possuída por uma entidade misteriosa, sua mãe busca a ajuda de um padre, que também é um psiquiatra, para salvar sua filha.",1,8.1,1973
Os Incríveis,229. The Incredibles,0.6802030584819329,-1.2666001831135631,Animação,Uma familia de heróis encobertos tentando viver uma vida tranquila se vem obrigados a salvar o mundo.,2,8.0,2004
Piratas do Caribe: A Maldição do Pérola Negra,230. Pirates of the Caribbean: The Curse of the Black Pearl,0.6409212925728354,-0.8483042177524143,Ação,"O ferreiro Will Turner se junta ao capitão Jack Sparrow para salvar seu amor, a filha do governador, dos ex-aliados piratas de Jack, que agora estão vivos.",4,8.1,2003
Ser ou Não Ser,231. To Be or Not to Be,-1.7552664278821142,-0.4300082523912653,Comédia,"Durante a ocupação nazista da Polônia, uma trupe de atuação se envolve nos esforços de um soldado polonês para rastrear um espião alemão.",4,8.2,1942
Feitiço do Tempo,232. Groundhog Day,0.24810363348186004,-1.2666001831135631,Comédia,Um homem vive o mesmo dia uma e outra vez.,2,8.0,1993
Meu Pai e Meu Filho,233. My Father and My Son,0.7194848243910305,-0.4300082523912653,Drama,A família de um jornalista de esquerda é separada após o golpe militar na Turquia em 1980.,3,8.2,2005
As Vinhas da Ira,234. The Grapes of Wrath,-1.8338299597003092,-0.8483042177524143,Drama,"Uma família pobre no Centro-Oeste é forçada a abandonar suas terras. Eles viajam para a Califórnia, sofrendo os infortúnios dos sem-teto na Grande Depressão.",2,8.1,1940
Sempre ao Seu Lado,235. Hachi: A Dog's Tale,0.8766118880274205,-0.8483042177524143,Biografia,Um professor universitário se liga a um cachorro abandonado que ele leva para casa.,3,8.1,2009
A Batalha de Argel,236. The Battle of Algiers,-0.8125040460637734,-0.8483042177524143,Drama,"Nos anos 50, o medo e a violência aumentam à medida que o povo de Argel lutava pela independência do governo francês.",0,8.1,1966
A Criada,237. The Handmaiden,1.1515842493911035,-0.8483042177524143,Drama,"Uma mulher é contratada como criada de uma herdeira japonesa, mas secretamente esta envolvida em um plano para defraudá-la.",4,8.1,2016
Amores Brutos,238. Amores Perros,0.5230759948455428,-0.8483042177524143,Drama,"Um terrível acidente de carro conecta três histórias, cada uma envolvendo personagens que lidam com a perda, o arrependimento e as duras realidades da vida, tudo em nome do amor.",0,8.1,2000
A Canção da Estrada,239. Pather Panchali,-1.244603471063846,-0.4300082523912653,Drama,"O padre Harihar Ray, sonhando com uma vida melhor para si e sua família, deixa sua aldeia rural de Bengala em busca de trabalho.",0,8.2,1955
"Rebecca, a Mulher Inesquecível",240. Rebecca,-1.8338299597003092,-0.8483042177524143,Drama,Uma mulher autoconsciente faz malabarismos para se ajustar a seu novo papel de esposa de um aristocrata e evitar ser intimidada pela presença espectral de sua primeira esposa.,3,8.1,1940
Rebeldia Indomável,241. Cool Hand Luke,-0.7732222801546759,-0.8483042177524143,Policial,"Um sulista quieto é condenado a dois anos em uma prisão rural, mas se recusa a obedecer.",3,8.1,1967
A Noviça Rebelde,242. The Sound of Music,-0.851785811972871,-0.8483042177524143,Biografia,Uma mulher deixa um convento austríaco para se tornar a instrutora dos filhos de um oficial da marinha viúvo.,2,8.1,1965
Aconteceu Naquela Noite,243. It Happened One Night,-2.0695205551548947,-0.8483042177524143,Comédia,Uma herdeira mimada que foge de sua família é ajudada por um homem que na verdade é um repórter que precisa de uma história.,3,8.1,1934
Os Incompreendidos,244. The 400 Blows,-1.087476407427456,-0.8483042177524143,Policial,"Uma criança, sem atenção, entra em uma vida de pequenos crimes.",2,8.1,1959
O Gigante de Ferro,245. The Iron Giant,0.4837942289364452,-0.8483042177524143,Animação,"Um jovem faz amizade com um robô gigante do espaço, um paranóico agente do governo quer que seja destruído.",2,8.1,1999
Histórias Cruzadas,246. The Help,0.9551754198456156,-0.8483042177524143,Drama,Uma aspirante a escritora durante o movimento dos direitos civis nos anos 60 nos Estados Unidos decide escrever um livro sobre as experiências das criadas negras que trabalhavam para as famílias brancas.,2,8.1,2011
