title_pt,title_en,year,rating,genre,sinopse,cluster,rating_original,year_original
O Resgate do Soldado Ryan,25. Saving Private Ryan,0.4445124630273477,1.2431756090533381,Drama,"Depois de chegar a Normandía, um grupo de soldados precisam encontrar ao unico irmão vivo de tres que morreram na guerra.",2,8.6,1998
Cidade de Deus,26. City of God,0.6016395266637378,1.2431756090533381,Policial,"Os caminhos de duas crianças divergem nas favelas do Rio, enquanto um se esforça para se tornar um fotógrafo e o outro um chefe do tráfico.",0,8.6,2002
A Vida é Bela,27. Life Is Beautiful,0.40523069711825016,1.2431756090533381,Comédia,"Quando um bibliotecário judeu e seu filho se tornarem vítimas do Holocausto, ele usará uma mistura perfeita de vontade, humor e imaginação para proteger seu filho dos perigos do campo de concentração.",4,8.6,1997
À Espera de um Milagre,28. The Green Mile,0.4837942289364452,1.2431756090533381,Policial,"As vidas dos guardas de corredor da morte são afetadas por um dos detidos: um homem afro-americano acusado pelo assassinato e estupro de uma criança, mas com um presente misterioso.",4,8.6,1999
Star Wars: Episódio IV - Uma Nova Esperança,29. Star Wars: Episode IV - A New Hope,-0.38040462106370054,1.2431756090533381,Ação,"Luke Skywalker une forças com um cabaleiro Jedi, um arrogante piloto é dois dróides para salvar a galaxia enquanto tentam salvar a princesa Leia do misterioso Darth Vader.",3,8.6,1977
O Exterminador do Futuro 2: O Julgamento Final,30. Terminator 2: Judgment Day,0.16954010166366498,1.2431756090533381,Ação,"Um ciborgue, idêntico àquele que não conseguiu matar Sarah Connor, deve agora proteger seu filho adolescente, John Connor, de um ciborgue mais avançado e poderoso.",4,8.6,1991
De Volta para o Futuro,31. Back to the Future,-0.06615049379092024,0.8248796436921891,Aventura,"Marty McFly viaja para 1955 com a máquina do tempo do cientista Dr. Brown. Ele deve garantir que seus pais se apaixonem, para não arriscar sua própria existência.",3,8.5,1985
A Viagem de Chihiro,32. Spirited Away,0.5623577607546403,1.2431756090533381,Animação,"Durante a mudança de casa, uma menina de dez anos se maravilha num mundo de dioses, bruxas e espíritus e onde os humanos são transformados em bestas.",2,8.6,2001
Oppenheimer,33. Oppenheimer,1.426556610754786,1.2431756090533381,Biografia,A história do cientista americano J. Robert Oppenheimer e o seu papel no desenvolvimento da bomba atômica.,0,8.6,2023
O Pianista,34. The Pianist,0.6016395266637378,0.8248796436921891,Biografia,Um musico judeu luta para sobreviver a destruição de Varsóvia durante a segunda guerra mundial.,3,8.5,2002
Psicose,35. Psycho,-1.0481946415183585,0.8248796436921891,Terror,"Uma secretária de Phoenix desvia dinheiro de um cliente de sua empresa, foge e vai a um motel remoto gerido por um jovem sob o domínio da mãe.",3,8.5,1960
Parasita,36. Parasite,1.269429547118396,0.8248796436921891,Drama,"Desempregados, a família de Ki-taek (Song Kang-ho) nutre um interesse peculiar pela família Park até que eles se veem presos em um inesperado incidente.",0,8.5,2019
Gladiador,37. Gladiator,0.5230759948455428,0.8248796436921891,Ação,Um general romano planeja a melhor vingança contra o imperador corrupto que matou sua familia e o fez escravo.,2,8.5,2000
O Rei Leão,38. The Lion King,0.28738539939095753,0.8248796436921891,Animação,Um pequeno lion é obrigado por seu tío a fugir de casa e anos depois se da conta da sua identidade e suas responsabilidades.,1,8.5,1994
O Profissional,39. Léon: The Professional,0.28738539939095753,0.8248796436921891,Ação,"Mathilda, uma menina de 12 anos é levada por Léon, um assassino profissional, depois que sua família é assassinada. Léon e Mathilda formam uma relação incomum, desde que ela se torna sua protegida.",1,8.5,1994
A Outra História Americana,40. American History X,0.4445124630273477,0.8248796436921891,Policial,Um neonazista tenta evitar que seu irmão mais novo tome o mesmo caminho errado que ele.,3,8.5,1998
Os Infiltrados,41. The Departed,0.7587665903001279,0.8248796436921891,Policial,Um policial disfarçado e um espião estão tentando se identificar enquanto se infiltram em uma gangue irlandesa no sul de Boston.,0,8.5,2006
Whiplash: Em Busca da Perfeição,42. Whiplash,1.0730207175729083,0.8248796436921891,Drama,Um jovem e promissor baterista se matricula em um conservatório de música onde seus sonhos são guiados por um instrutor que não pára por nada para perceber o potencial de um aluno.,4,8.5,2014
O Grande Truque,43. The Prestige,0.7587665903001279,0.8248796436921891,Drama,"Depois de um trágico acidente, dois magos do palco se engajam em uma batalha para criar a ilusão final enquanto sacrificam tudo o que têm para enganar um ao outro.",3,8.5,2006
Túmulo dos Vagalumes,45. Grave of the Fireflies,0.051694803936372366,0.8248796436921891,Animação,Um menino e sua irmã tentam sobreviver no Japão durante a Segunda Guerra Mundial.,0,8.5,1988
Casablanca,46. Casablanca,-1.7552664278821142,0.8248796436921891,Drama,O proprietário cético de uma boate protege um antigo amor e seu marido dos nazistas no Marrocos.,0,8.5,1942
Harakiri,47. Harakiri,-0.9696311097001635,1.2431756090533381,Ação,"Um velho samurai ronin chega à casa de um senhor feudal e pede um lugar honroso para cometer suicídio. Mas quando o ronin pede um samurai mais jovem que chegou antes, os eventos seguem um curso inesperado.",2,8.6,1962
Intocáveis,48. The Intouchables,0.9551754198456156,0.8248796436921891,Biografia,"Depois de ficar tetraplégico num acidente, um aristocrata contrata um jovem de um bairro pobre para cuidar dele.",2,8.5,2011
Tempos Modernos,49. Modern Times,-1.9909570233366993,0.8248796436921891,Comédia,Um vagabundo luta para viver na sociedade industrial moderna com a ajuda de uma jovem.,0,8.5,1936
Cinema Paradiso,50. Cinema Paradiso,0.051694803936372366,0.8248796436921891,Drama,"Um diretor de cinema lembra como, em sua infância, ele se apaixonou pelo cinema de sua cidade e iniciou uma profunda amizade com o projecionista.",4,8.5,1988
Era uma Vez no Oeste,51. Once Upon a Time in the West,-0.7339405142455783,0.8248796436921891,Faroeste,Um misterioso estranhoe se junta com um bandido para proteger a uma viúva.,0,8.5,1968
Janela Indiscreta,52. Rear Window,-1.2838852369729437,0.8248796436921891,Mistério,Um fotógrafo em uma cadeira de rodas espiona seus vizinhos pela janela de seu apartamento e está convencido de que um deles cometeu um assassinato.,4,8.5,1954
Alien - O 8º Passageiro,53. Alien,-0.30184108924550546,0.8248796436921891,Terror,"Depois que um navio mercante do espaço percebe uma transmissão desconhecida como uma chamada de socorro, encontra um dos tripulantes atacado por um misterioso modo de vida, e logo percebem que seu ciclo de vida simplesmente começou.",3,8.5,1979
Luzes da Cidade,54. City Lights,-2.1873658528821873,0.8248796436921891,Comédia,"Com a ajuda de um homem rico, bêbado e imprevisível, um vagabundo ingênuo que se apaixonou por uma florista cega tenta conseguir dinheiro para fornecer ajuda médica.",2,8.5,1931
Apocalypse Now,55. Apocalypse Now,-0.30184108924550546,0.4065836783310401,Drama,Um oficial do exército dos Estados Unidos no Vietnã é encarregado de assassinar a um coronel que acredita ser um deus.,0,8.4,1979
Amnésia,56. Memento,0.5230759948455428,0.4065836783310401,Mistério,Um homem com perda da memória de curto prazo tenta investigar o homicídio da sua esposa.,2,8.4,2000
Django Livre,57. Django Unchained,0.9944571857547131,0.4065836783310401,Drama,"Com a ajuda de um caçador de recompensas alemão, um escravo libertado sai para resgatar sua esposa de um brutal dono de uma plantação no Mississipi.",2,8.4,2012
Os Caçadores da Arca Perdida,58. Indiana Jones and the Raiders of the Lost Ark,-0.22327755742731037,0.4065836783310401,Ação,"Em 1936 o archeologista e aventurero Indiana Jones é contratado pelo governo dos Estados Unidos para procurar pelo Pacto da Arca, antes que os nazis o tenham primeiro.",4,8.4,1981
WALL·E,59. WALL·E,0.837330122118323,0.4065836783310401,Animação,"Num futuro distante, um pequeno robô faz uma viagem que decidirá o destino da humanidade.",2,8.4,2008
A Vida dos Outros,60. The Lives of Others,0.7587665903001279,0.4065836783310401,Drama,"Em 1984, em Berlim Oriental, um agente da polícia secreta que cuida de um escritor e sua mulher se vê cada vez mais absorvido em suas vidas.",0,8.4,2006
Crepúsculo dos Deuses,61. Sunset Blvd.,-1.4410123006093338,0.4065836783310401,Drama,Um roteirista estabelece uma relação com uma fracasada estrela de cinema que quer voltar aos filmes.,2,8.4,1950
